field_code,loan_code,description
A045B,Unsecured Credit Card,Delinquent balance — unsecured credit card loans
A130B,Payday Alternative Loans,Delinquent balance — payday alternative loans (PALs/FCU)
A041T,Non-Federally Guaranteed Student,Delinquent balance — non-federally guaranteed student loans
ADL0027,All Other Unsecured,Delinquent balance — all other unsecured loans/lines of credit
A041C,All Other Unsecured,Delinquent balance — all other loans (legacy 5300 aggregate)
A041C1,New Vehicles,Delinquent balance — new vehicle loans
A041C2,Used Vehicles,Delinquent balance — used vehicle loans
A041D,Leases Receivable,Delinquent balance — leases receivable
ADL0055,All Other Secured Non-RE,Delinquent balance — all other secured non-real estate loans/lines of credit
ADL0062,First Liens,Delinquent balance — secured by 1st lien on a single 1- to 4-family residential property
A713A,First Liens,Delinquent balance — 1st-lien residential
A714A,First Liens,Delinquent balance — 1st-lien residential
ADL0069,Junior Liens,Delinquent balance — secured by junior lien on a single 1- to 4-family residential property
A715A,Junior Liens,Delinquent balance — junior-lien residential
A716A,Junior Liens,Delinquent balance — junior-lien residential
ADL0076,Other Real Estate (Other),Delinquent balance — all other (non-commercial) real estate loans/lines of credit
ADL0083,Construction and Development,Delinquent balance — construction and development loans
ADL0090,Secured by Farmland,Delinquent balance — secured by farmland
ADL0097,Secured by Multifamily,Delinquent balance — secured by multifamily
ADL0104,Owner-Occupied Non-Farm Non-Residential,Delinquent balance — secured by owner-occupied non-farm non-residential property
ADL0111,Non-Owner-Occupied Non-Farm Non-Residential,Delinquent balance — secured by non-owner-occupied non-farm non-residential property
ADL0118,Agricultural,Delinquent balance — loans to finance agricultural production and other loans to farmers
ADL0125,Commercial and Industrial,Delinquent balance — commercial and industrial loans
ADL0132,Unsecured Commercial,Delinquent balance — unsecured commercial loans
ADL0139,Unsecured Revolving Commercial,Delinquent balance — unsecured revolving lines of credit for commercial purposes
