field_code,sheet,cell
cuname,Historical Data,B2
charter,Historical Data,B3
A719,Historical Data,T20
A396,Historical Data,T22
A397A,Historical Data,T23
A698A,Historical Data,T24
A397,Historical Data,T25
A385,Historical Data,T26
A370,Historical Data,T27
A002,Historical Data,T28
A698C,Historical Data,T29
A703A,Historical Data,T30
A386A,Historical Data,T31
A386B,Historical Data,T32
A718A5,Historical Data,T33
A400P,Historical Data,T34
A045B,Historical Data,T39
A130B,Historical Data,T40
A041T,Historical Data,T41
A041C1,Historical Data,T42
A041C2,Historical Data,T43
A713A,Historical Data,T44
A714A,Historical Data,T45
A715A,Historical Data,T46
A716A,Historical Data,T47
A041D,Historical Data,T48
A041C,Historical Data,T49
A680,Historical Data,T73
A136,Historical Data,T74
A550T,Historical Data,T75
A550C1,Historical Data,T76
A550C2,Historical Data,T77
A548,Historical Data,T78
A549,Historical Data,T79
A550D,Historical Data,T80
A550C,Historical Data,T81
A681,Historical Data,T106
A137,Historical Data,T107
A551T,Historical Data,T108
A551C1,Historical Data,T109
A551C2,Historical Data,T110
A607,Historical Data,T111
A608,Historical Data,T112
A551D,Historical Data,T113
A551C,Historical Data,T114
